name,sku,description,one_liner,brand,category,featured,image,priority
T-shirt with flower embroidery,8114-369-S,"Short Sleeves Shirt made of a flowers embroidery on laser cut faux-leather all over lace and refined satin edging, lined with a spaghetti top made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®). Super-soft touch on your skin and the most comfortable wearability. A stylish item ideal for daily use and nights out.","Short Sleeves Shirt made of a flowers embroidery on laser cut faux-leather all over lace and refined satin edging, lined with a spaghetti top made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®).",Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/8114-369-S.jpg,100
T-shirt with leavers,3164-456,"Short Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body. Featuring a trendy scooped neckline, ideal for layering underneath a shirt or jacket or a wonderful top for everyday use.","Short Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,T-shirt (Spring Summer 2016),FALSE,t-shirt/3164-456.jpg,100
,,,,Oscalito,,FALSE,,
Mini low-rise Brief with leavers,3171-010,"Mini low-rise Brief made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French micro leavers lace, certified and numbered as true “Dentelle de Calais®”.  No side seams construction, super-soft, comfortable and light touch for your second skin everyday.","Mini low-rise Brief made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French micro leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,Brief (Spring Summer 2016),FALSE,brief/3171-010.jpg,100
Mini low-rise Brief with leavers,3161,"Mini low-rise Brief made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”.  No side seams construction, super-soft, comfortable and light touch for your second skin everyday.","Mini low-rise Brief made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a stylish and feminine French leavers lace, certified and numbered as true “Dentelle de Calais®”.",Oscalito,Brief (Spring Summer 2016),FALSE,brief/3161.jpg,100
Long Chemise with macramè and tulle,1299-010-S,Long Chemise made from the lightest and airiest micro-modal with a seductive macramè and tulle marquetry on the back and a stylish inlaid tulle on the front for a super-soft touch on your skin and the utmost comfort and wearability. This elegant item is perfect to be worn during your days and nights out.,Long Chemise made from the lightest and airiest micro-modal with a seductive macramè and tulle marquetry on the back and a stylish inlaid tulle on the front for a super-soft touch on your skin and the utmost comfort and wearability.,Oscalito,Sleeveless (Spring Summer 2016),FALSE,sleeveless/1299-010-S.jpg,100
,,,,Oscalito,,FALSE,,
¾ Sleeve Shirt with wave zip,8100,¾ Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a linen-cotton blend shirt front carved by an exclusive wave zip. Super-soft touch on your skin and the most comfortable fit on your body. A stylish item ideal for daily use and nights out.,¾ Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a linen-cotton blend shirt front carved by an exclusive wave zip. ,Oscalito,Cardigan (Spring Summer 2016),FALSE,cardigan/8100.jpg,100
,,,,Oscalito,,FALSE,,
¾ Sleeve Cardigan with macramè,8046-020-S,"¾ Sleeves back buttoned Cardigan made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a seductive pure cotton high macramé lace edging. Flat, soft touch knit fabric for the utmost comfort and wearability. This elegant item is perfect to be worn during your days and nights out.",¾ Sleeves back buttoned Cardigan made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a seductive pure cotton high macramé lace edging.,Oscalito,Long sleeves (Spring Summer 2016),FALSE,long_sleeves/8046-020-S.jpg,100
¾ Sleeve Shirt,3176,"¾ Sleeves Shirt made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a trendy boat neckline. Super-soft touch on your skin and flat knit fabric for the most comfortable wearability. Coming in several seasonal colors, this elegant item is perfect to be worn during your days and nights out.",¾ Sleeves Shirt made of a delicate flat knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a trendy boat neckline.,Oscalito,Long sleeves (Spring Summer 2016),FALSE,long_sleeves/3176.jpg,100
¾ Sleeve Shirt with macramé,8052-471-S,¾ Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a carved linen-cotton blend shirt front and jewel-like multicolor macramé inlay of ethnic inspiration. No side seams construction for a super-soft touch on your skin and the most comfortable fit on your body. This charming item is perfect to be worn during your days and nights out.,¾ Sleeves Shirt made of a delicate rib knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a carved linen-cotton blend shirt front and jewel-like multicolor macramé inlay of ethnic inspiration.,Oscalito,Long sleeves (Spring Summer 2016),FALSE,long_sleeves/8052-471-S.jpg,100
¾ Sleeve Shirt with macramè and tulle,8038-10-S,¾ Sleeves Shirt made of a delicate knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a seductive macramè and tulle marquetry on the back and a stylish inlaid tulle on the front. Double construction with flat knit fabric on the front for the most comfortable wearability and rib fabric on the back for a cozy shaping of your body. This elegant item is perfect to be worn during your days and nights out.,¾ Sleeves Shirt made of a delicate knit fabric in pure Egyptian Makò Mercerized Cotton (Filoscozia®) with a seductive macramè and tulle marquetry on the back and a stylish inlaid tulle on the front.,Oscalito,Long sleeves (Spring Summer 2016),FALSE,long_sleeves/8038-10-S.jpg,100
